fecha,provincia,atractivo,visitantes,temperatura_prom,satisfaccion
2025-07-19,Jujuy,Parque Nacional Los Cardones,6364,32.6,8
2025-12-25,Salta,Quebrada de Humahuaca,8048,27.0,8
2025-11-05,Catamarca,Valles Calchaquíes,8567,14.8,9
2025-04-06,Tucumán,Valles Calchaquíes,3337,14.8,1
2025-01-25,Tucumán,Quebrada de Humahuaca,1116,18.5,4
2025-11-05,Tucumán,Parque Nacional Los Cardones,9325,30.6,5
2025-11-04,Catamarca,Valles Calchaquíes,4479,23.7,2
2025-08-27,Salta,Ruta del Adobe,9285,32.5,4
2025-04-22,Salta,Termas,6499,24.6,6
2025-03-07,Tucumán,Ruta del Adobe,671,34.2,9
2025-07-12,Tucumán,Quebrada de Humahuaca,9448,18.3,6
2025-01-03,Catamarca,Parque Nacional Los Cardones,5965,28.7,3
2025-01-10,Salta,Tren a las Nubes,316,11.1,6
2025-10-06,Catamarca,Tren a las Nubes,3250,17.9,7
2025-05-26,Salta,Ruta del Adobe,871,10.1,7
2025-03-13,Tucumán,Valles Calchaquíes,9900,22.2,10
2025-02-01,Santiago del Estero,Ruta del Adobe,9534,21.0,5
2025-06-13,Jujuy,Quebrada de Humahuaca,9645,22.1,8
2025-05-15,Santiago del Estero,Parque Nacional Los Cardones,1331,23.7,6
2025-02-17,Santiago del Estero,Quebrada de Humahuaca,2283,24.0,8
2025-09-22,Jujuy,Termas,6134,16.3,4
2025-12-18,Tucumán,Termas,3298,11.3,8
2025-08-23,Jujuy,Valles Calchaquíes,7704,15.2,7
2025-10-02,Tucumán,Ruta del Adobe,4210,14.4,6
2025-12-16,Salta,Ruta del Adobe,3283,10.7,10
2025-04-15,Tucumán,Termas,5469,29.8,9
2025-12-14,Salta,Parque Nacional Los Cardones,8360,25.5,8
2025-11-01,Jujuy,Parque Nacional Los Cardones,4059,14.2,8
2025-05-28,Salta,Tren a las Nubes,962,10.8,9
2025-07-18,Jujuy,Tren a las Nubes,2917,34.5,6
2025-01-07,Salta,Parque Nacional Los Cardones,5899,33.7,10
2025-08-05,Salta,Termas,4281,22.8,10
2025-06-08,Catamarca,Valles Calchaquíes,9970,21.4,7
2025-10-03,Salta,Ruta del Adobe,2874,20.0,2
2025-08-19,Santiago del Estero,Tren a las Nubes,4655,19.1,4
2025-03-16,Tucumán,Quebrada de Humahuaca,2151,31.9,8
2025-08-16,Catamarca,Ruta del Adobe,9655,16.9,5
2025-02-14,Tucumán,Tren a las Nubes,1292,29.6,2
2025-08-25,Catamarca,Tren a las Nubes,136,16.7,2
2025-06-14,Salta,Termas,1302,20.5,2
2025-11-26,Santiago del Estero,Quebrada de Humahuaca,3572,29.8,10
2025-09-24,Santiago del Estero,Tren a las Nubes,5215,30.8,3
2025-05-25,Tucumán,Termas,3626,27.0,5
2025-05-02,Tucumán,Valles Calchaquíes,4177,30.0,7
2025-11-12,Salta,Quebrada de Humahuaca,8604,16.2,5
2025-03-28,Santiago del Estero,Ruta del Adobe,3366,22.1,6
2025-12-14,Tucumán,Parque Nacional Los Cardones,6237,22.0,6
2025-11-09,Jujuy,Valles Calchaquíes,2830,32.9,4
2025-07-17,Salta,Tren a las Nubes,192,25.7,5
2025-02-05,Jujuy,Termas,5667,30.8,8
2025-05-27,Jujuy,Tren a las Nubes,5516,19.9,7
2025-06-03,Santiago del Estero,Tren a las Nubes,8869,10.8,4
2025-09-13,Jujuy,Ruta del Adobe,494,23.3,5
2025-10-20,Tucumán,Quebrada de Humahuaca,3707,22.5,7
2025-08-07,Catamarca,Ruta del Adobe,5386,34.5,2
2025-11-08,Catamarca,Termas,4658,25.2,8
2025-03-17,Jujuy,Quebrada de Humahuaca,5856,32.3,9
2025-06-09,Jujuy,Tren a las Nubes,1397,27.0,5
2025-09-23,Santiago del Estero,Quebrada de Humahuaca,3693,16.8,2
2025-07-12,Jujuy,Quebrada de Humahuaca,1532,20.6,3
2025-01-22,Jujuy,Valles Calchaquíes,6621,33.3,6
2025-09-13,Tucumán,Parque Nacional Los Cardones,6419,27.0,8
2025-04-07,Santiago del Estero,Tren a las Nubes,6577,18.1,10
2025-03-18,Jujuy,Parque Nacional Los Cardones,5315,24.4,2
2025-03-01,Tucumán,Quebrada de Humahuaca,9685,31.7,5
2025-08-14,Tucumán,Parque Nacional Los Cardones,5672,30.8,2
2025-09-08,Salta,Quebrada de Humahuaca,457,29.6,4
2025-12-18,Jujuy,Valles Calchaquíes,99,12.3,3
2025-05-20,Salta,Ruta del Adobe,5528,32.5,8
2025-09-01,Salta,Valles Calchaquíes,5693,11.8,3
2025-02-10,Salta,Termas,5482,20.9,8
